Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
h2,imgur,0.444007999999,1.060091,1.057299,0,0,0,0,1,17073,77211,0.583130999999,4,188947,648930,1.520744,1,14640,14260,0.156015999999,4,220660,740401
h2,imdb,0.825757000001,3.702797,1.733244,0,0,0,0,4,24111,103530,1.969338,8,284866,942433,3.020218,48,786774,776859,38.414608,9,1095751,1822822
h2,amazon,0.825094,1.34909,1.304252,0,0,0,0,1,25234,80357,0.972,6,43956,200218,0.990917000001,13,97357,91721,1.728379,9,166547,372296
quic,apple,0.305569999999,1.262351,1.03696,0,0,0,0,1,4578,24576,0.31295,9,190901,840041,2.436679,17,527789,536414,4.001865,4,723268,1401031
quic,amazon,0.505343000001,1.429429,1.276847,0,0,0,0,1,26376,84075,0.757707000001,8,143247,515306,1.323101,13,97378,91721,3.048766,9,267001,691102
quic,imgur,0.329932999999,1.059273,1.059273,0,0,0,0,1,17045,77211,0.362966999999,4,188900,648930,1.410426,1,14640,14260,0.339746,4,220585,740401
quic,imgur,0.309291000001,0.915836,0.915836,0,0,0,0,1,17045,77211,0.336425000001,4,188885,648930,1.222105,1,14641,14260,0.221294999999,4,220571,740401
quic,amazon,0.488821000001,1.155594,1.030463,0,0,0,0,1,26646,84909,0.692329,8,142974,515306,1.063123,13,92887,87131,1.022485,9,262507,687346
quic,imdb,0.948581000001,3.580451,1.519457,0,0,0,0,1,16955,91241,0.949119000001,4,81771,279104,1.48638,45,657727,649307,37.707522,9,756453,1019652
quic,amazon,0.489811000001,1.215496,1.038457,0,0,0,0,1,26643,84793,0.713571,8,143319,515306,1.032807,13,94303,88672,1.737944,9,264265,688771
quic,imdb,0.602121,3.308562,1.217472,0,0,0,0,1,16946,91242,0.709137,4,81771,279111,1.328435,44,743247,735191,31.599873,9,841964,1105544
quic,apple,0.353515000001,1.454061,1.175509,0,0,0,0,1,4577,24576,0.366187,9,190938,840041,2.772194,17,527808,536414,4.810339,4,723323,1401031
quic,apple,0.384986999999,1.739693,1.292202,0,0,0,0,1,4578,24576,0.39373,9,190933,840041,3.224965,17,527759,536414,7.16450300001,4,723270,1401031
quic,amazon,0.507024,1.345085,1.239298,0,0,0,0,1,25037,79979,0.850495000001,8,143349,515306,1.008968,13,97353,91721,1.359612,9,265739,687006
quic,imgur,0.289732000001,0.886208,0.886208,0,0,0,0,1,17045,77211,0.324556,4,188884,648930,1.093276,1,14640,14260,0.160132000001,4,220569,740401
quic,apple,0.359733000001,1.655257,1.191583,0,0,0,0,1,4577,24576,0.37148,9,190902,840041,2.931217,17,527745,536414,6.392847,4,723224,1401031
quic,imdb,0.586513,3.176217,1.118663,0,0,0,0,1,16949,91241,0.626318000001,4,81778,279110,1.450054,44,811786,803704,32.446646,9,910513,1174055
quic,imgur,0.362314,1.543774,1.543774,0,0,0,0,1,17046,77211,0.382949000001,4,188899,648930,2.539565,1,14640,14260,0.467915000001,4,220585,740401
quic,apple,0.357339,1.557716,1.200929,0,0,0,0,1,4578,24576,0.370756,9,190904,840041,2.771857,17,527811,536414,5.310059,4,723293,1401031
quic,imdb,0.879126000002,3.737481,1.424812,0,0,0,0,1,16992,91242,0.879332,4,81777,279110,1.433395,46,726703,717513,38.710011,10,825472,1087865
quic,imdb,0.624387,3.318565,1.238504,0,0,0,0,1,16656,91242,0.735079,4,81746,279110,1.304705,47,834218,825310,35.79783,9,932620,1195662
quic,imdb,0.597604999999,3.904963,1.081393,0,0,0,0,1,16936,91242,0.632894,4,81772,279104,1.852449,47,747042,737882,39.240021,9,845750,1108228
quic,amazon,0.498689,1.286545,1.17078,0,0,0,0,1,25302,80818,0.819366,8,143216,515306,1.067164,13,92787,87131,1.249806,9,261305,683255
quic,amazon,0.660646999999,1.38243,1.227788,0,0,0,0,1,26631,84804,0.880303,8,143274,515306,0.849348,13,94342,88672,1.240177,9,264247,688782
quic,imgur,0.313332,0.942379,0.942379,0,0,0,0,1,17045,77211,0.346437,4,188901,648930,1.205262,1,14640,14260,0.183189000001,4,220586,740401
quic,apple,0.320561,1.457825,1.146561,0,0,0,0,1,4577,24576,0.336478000001,9,190938,840041,2.6164,17,527758,536414,4.241324,4,723273,1401031
quic,imgur,0.298805,0.928721,0.928721,0,0,0,0,1,17046,77211,0.331471,4,188915,648930,1.198998,1,14640,14260,0.133086,4,220601,740401
quic,imdb,0.630024999999,3.290582,1.181537,0,0,0,0,1,16922,91241,0.661843,4,81754,279111,1.340887,45,764264,755844,34.112022,9,862940,1126196
quic,imgur,0.300826999999,0.910490999999,0.910490999999,0,0,0,0,1,17046,77211,0.338937999999,4,188886,648930,1.185718,1,14641,14260,0.160731,4,220573,740401
quic,apple,0.307037,1.259633,1.047276,0,0,0,0,1,4577,24576,0.316541,9,190935,840041,2.30315,17,527783,536414,3.88512,4,723295,1401031
quic,imgur,0.417028,1.208376,1.208376,0,0,0,0,1,17046,77211,0.44766,4,188894,648930,1.53023,1,14640,14260,0.298695000001,4,220580,740401
quic,apple,0.312925999999,1.276064,1.055642,0,0,0,0,1,4578,24576,0.319427999999,9,190900,840041,2.187189,17,527762,536414,4.334809,4,723240,1401031
quic,apple,0.371578,1.534796,1.194438,0,0,0,0,1,4577,24576,0.383018,9,190902,840041,2.707415,17,527781,536414,5.107019,4,723260,1401031
quic,imdb,0.649557999999,3.206732,1.219314,0,0,0,0,1,16865,91241,0.762072,4,81770,279110,1.349975,46,770015,761470,35.716229,9,868650,1131821
quic,amazon,0.506658,1.182851,1.073454,0,0,0,0,1,26642,84914,0.733002999999,8,143215,515306,0.819272000001,13,92079,87131,1.05522899999,9,261936,687351
quic,amazon,0.511326,1.160454,1.061149,0,0,0,0,1,25031,79979,0.723806999998,8,143245,515306,0.832378000001,13,96662,91721,1.142963,9,264938,687006
quic,imdb,0.706897,3.741989,1.576949,0,0,0,0,1,16918,91241,0.822078000001,4,81681,279104,1.687454,44,716598,708497,44.100567,9,815197,1078842
quic,imdb,0.528229000001,3.702922,1.224606,0,0,0,0,1,16861,91241,0.724151,4,81674,279104,1.8161,47,791942,782930,36.319888,9,890477,1153275
quic,amazon,0.588023999999,1.268456,1.159463,0,0,0,0,1,26379,84075,0.811356,8,143166,515306,0.893156000002,13,97378,91721,1.863167,9,266923,691102
quic,amazon,0.568252999999,1.508255,1.186719,0,0,0,0,1,25295,80708,0.796375,8,142971,515306,1.493826,13,94399,88672,3.100954,9,262665,684686
quic,imgur,0.350589,1.119728,1.119728,0,0,0,0,1,17046,77211,0.386321,4,188882,648930,1.427847,1,14640,14260,0.168146,4,220568,740401
quic,imgur,0.311766000001,1.06294,1.06294,0,0,0,0,1,17045,77211,0.343443,4,188928,648930,1.386233,1,14640,14260,0.140369999999,4,220613,740401
quic,apple,0.299364999999,1.743112,1.451659,0,0,0,0,1,4577,24576,0.308109,9,190952,840041,3.148756,17,527774,536414,7.004348,4,723303,1401031
h1,imdb,0.897618000001,3.833744,1.812595,0,0,0,0,6,28579,107628,2.772836,8,284930,942427,2.98112,49,834462,824253,28.914638,10,1147971,1874308
h1,amazon,1.172111,1.978664,1.695294,0,0,0,0,1,26666,84592,1.340591,8,143221,515306,1.975305,13,107830,102197,2.980467,10,277717,702095
h1,apple,0.459763000001,1.715292,1.365139,0,0,0,0,1,4575,24576,0.459585000001,9,190840,840041,3.646866,17,527847,536414,6.076955,4,723262,1401031
h1,imgur,0.499965000001,1.197502,1.194543,0,0,0,0,1,17072,77211,0.643682,4,188954,648930,1.768517,1,14640,14260,0.164132999998,4,220666,740401
h1,amazon,0.889845,2.073994,1.394702,0,0,0,0,1,25311,80497,1.054541,8,143173,515306,3.131572,13,107829,102197,5.050112,10,276313,698000
h1,amazon,0.800676999999,1.36667,1.250215,0,0,0,0,1,25318,80497,0.933628999999,8,143219,515306,1.01436,13,107862,102197,2.203641,10,276399,698000
h1,apple,0.565504,1.922059,1.604618,0,0,0,0,1,4575,24576,0.565147000001,9,182937,840041,4.108694,17,527849,536414,5.263706,4,715361,1401031
h1,imdb,0.825036,3.756315,1.896308,0,0,0,0,6,28563,107628,2.709033,8,284964,942433,3.305366,50,841497,831236,39.496252,9,1155024,1881297
h1,imdb,0.896863999998,4.553949,1.848315,0,0,0,0,6,28502,107628,4.339544,8,285005,942433,4.40689100001,51,662580,652071,52.242594,9,976087,1702132
h1,amazon,1.209041,1.888422,1.74197,0,0,0,0,1,26697,84680,1.376671,8,143228,515306,1.316042,13,104554,98922,2.033841,10,274479,698908
h1,amazon,0.831881,1.606343,1.286311,0,0,0,0,1,25048,79658,1.00256,6,44001,200218,1.394271,13,112421,106787,5.184877,10,181470,386663
h1,imgur,0.517795,0.537504,0.537504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
h1,apple,0.446882,1.893193,1.38248,0,0,0,0,1,4575,24576,0.447781999999,9,190849,840041,4.15792600001,17,527849,536414,9.46993,4,723273,1401031
h1,imgur,0.442594,1.116588,1.113631,0,0,0,0,1,17072,77211,0.568964,4,188946,648930,1.522265,1,14640,14260,0.209018,4,220658,740401
h1,imdb,0.771414999999,3.328016,1.725743,0,0,0,0,6,28615,107628,2.737777,8,284911,942433,2.54355,52,764889,754193,29.880744,9,1078415,1804254
h1,apple,0.451706,1.696696,1.327621,0,0,0,0,1,4575,24576,0.453275,9,182937,840041,3.538355,17,527873,536414,5.25639000001,4,715385,1401031
