Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
h1,apple,0.5949,2.2362,1.72179,0,0,0,0,1,4575,24576,0.594812000001,9,190852,840041,4.251003,17,527850,536414,10.207138,4,723277,1401031
h1,imgur,0.570318,1.340753,1.340753,0,0,0,0,1,17072,77211,0.729124,4,188957,648930,2.256962,1,14640,14260,0.128149,4,220669,740401
h1,imdb,0.884524000001,3.725025,2.907219,0,0,0,0,6,28550,107628,3.020666,8,284894,942427,4.506239,46,870048,861280,53.676219,9,1183492,1911335
h1,apple,0.579873000001,2.194491,1.808807,0,0,0,0,1,4575,24576,0.579582,9,190849,840041,4.528376,17,528012,536414,6.862399,4,723436,1401031
h1,imdb,0.97169,4.072853,4.063978,0,0,0,0,1,16806,87148,1.152411,6,265354,882496,5.476905,46,762100,753344,66.537125,9,1044260,1722988
h1,apple,0.609243000001,2.222953,1.749706,0,0,0,0,1,4575,24576,0.608993000002,9,190852,840041,4.481805,17,527851,536414,10.139272,4,723278,1401031
h1,imgur,3.022318,4.653243,4.616242,0,0,0,0,1,17072,77211,3.332737,4,188980,648930,4.581804,1,14640,14260,0.413544999999,4,220692,740401
h1,imgur,0.53722,1.281609,1.281609,0,0,0,0,1,17072,77211,0.720976000001,4,188971,648930,2.279615,1,14640,14260,0.136197,4,220683,740401
h1,amazon,0.970011000001,1.879186,1.560244,0,0,0,0,1,26670,84593,1.17695,8,143164,515306,1.941439,13,107830,102197,2.787797,10,277664,702096
h1,imgur,0.608042,1.417308,1.417308,0,0,0,0,1,17072,77211,0.815913,4,188973,648930,2.199826,1,14640,14260,0.140294999999,4,220685,740401
h1,apple,0.535937999999,2.205624,1.679168,0,0,0,0,1,4576,24576,0.537381,9,190876,840041,5.260166,17,527853,536414,10.383835,4,723305,1401031
h1,apple,0.55054,2.407511,1.820752,0,0,0,0,1,4576,24576,0.550556999999,9,190819,840041,6.457667,17,527844,536414,11.458844,4,723239,1401031
h1,apple,0.580223000001,2.224384,1.696416,0,0,0,0,1,4575,24576,0.588950000001,9,190850,840041,4.156528,17,527851,536414,10.999009,4,723276,1401031
h1,imgur,0.585757999999,1.412804,1.412804,0,0,0,0,1,17072,77211,0.747051,4,188953,648930,2.271392,1,14640,14260,0.154133999999,4,220665,740401
h1,apple,0.556585,2.309045,1.724675,0,0,0,0,1,4575,24576,0.556465,9,190851,840041,4.536284,17,527853,536414,10.943905,4,723279,1401031
h1,amazon,0.942130000001,1.953425,1.525925,0,0,0,0,1,26666,84473,1.123047,8,143164,515306,1.686797,13,109363,103738,4.193951,10,279193,703517
h1,imdb,0.889454,3.76159,2.048317,0,0,0,0,6,28663,107627,3.055931,8,284960,942434,3.336493,52,740554,729987,41.516546,9,1054177,1780048
h1,imdb,0.990786999999,3.897948,2.02755,0,0,0,0,6,28624,107628,3.146754,8,284935,942434,3.412817,49,733236,723456,39.86181,9,1046795,1773518
h1,imgur,0.584010999999,1.534469,1.534469,0,0,0,0,1,17072,77211,0.774073999999,4,188942,648930,2.109671,1,14640,14260,0.142378,4,220654,740401
h1,imdb,0.889513,4.080939,2.421559,0,0,0,0,6,28506,107628,3.130075,8,284908,942427,4.174177,50,738976,728824,45.920412,9,1052390,1778879
h1,amazon,3.218492,4.918175,4.527713,0,0,0,0,1,26460,83621,3.778219,8,143165,515306,3.921198,13,107885,102197,5.186859,10,277510,701124
h1,imgur,0.607236,1.419373,1.419373,0,0,0,0,1,17073,77211,0.782653999999,4,188987,648930,2.029313,1,14640,14260,0.162998,4,220700,740401
h1,amazon,1.063953,2.012369,1.669299,0,0,0,0,1,25318,80509,1.282679,8,143163,515306,1.753737,13,107830,102197,3.010773,10,276311,698012
h1,amazon,0.966425000001,1.832391,1.527883,0,0,0,0,1,26389,83754,1.164626,8,143267,515306,1.681618,13,112423,106787,3.009799,10,282079,705847
h1,imgur,0.584284,1.469109,1.466103,0,0,0,0,1,17072,77211,0.754292,4,188933,648930,2.075886,1,14640,14260,0.295862000001,4,220645,740401
h1,imdb,0.927497000001,3.96716,3.955411,0,0,0,0,1,16826,87148,1.108794,6,265391,882502,5.703905,49,903816,894223,68.169938,9,1186033,1863873
h1,apple,0.572516,2.429906,1.803096,0,0,0,0,1,4575,24576,0.578051,9,190850,840041,5.398057,17,528028,536414,11.545529,4,723453,1401031
h1,imdb,0.948154,3.982903,1.93616,0,0,0,0,6,28532,107628,3.054444,8,284954,942433,3.522439,50,807224,797066,39.236467,9,1120710,1847127
