timestamp,method,requestId,url,mimeType,dataLength,encodedDataLength,param-timestamp,protocol
1465307662724,Network.responseReceived,22841.1,,text/plain,,,11480.486343,data
1465307662724,Network.loadingFinished,22841.1,,,,0,11480.486391,
1465307662733,Page.loadEventFired,,,,,,11480.502979,
1465307662733,Page.domContentEventFired,,,,,,11480.503279,
1465307663378,Network.requestWillBeSent,22864.1,m.imgur.com.this,,,,11480.574017,
1465307663379,Network.responseReceived,22864.1,,text/html,,,11481.16297,h2
1465307663398,Network.dataReceived,22864.1,,,15997,4381,11481.163282,
1465307663406,Network.requestWillBeSent,22864.2,fonts.googleapis.com.this,,,,11481.190014,
1465307663406,Network.requestWillBeSent,22864.3,m.imgur.com.this,,,,11481.190204,
1465307663406,Network.requestWillBeSent,22864.4,m.imgur.com.this,,,,11481.190402,
1465307663406,Network.requestWillBeSent,22864.5,m.imgur.com.this,,,,11481.190578,
1465307663547,Network.dataReceived,22864.1,,,32768,12315,11481.333702,
1465307663547,Network.dataReceived,22864.1,,,27127,0,11481.333803,
1465307663558,Network.dataReceived,22864.1,,,1319,376,11481.34467,
1465307663559,Network.loadingFinished,22864.1,,,,17072,11481.344778,
1465307663599,Network.responseReceived,22864.4,,application/x-javascript,,,11481.383502,h2
1465307663600,Network.responseReceived,22864.3,,text/css,,,11481.384679,h2
1465307663600,Network.dataReceived,22864.3,,,11370,4151,11481.384973,
1465307663600,Network.dataReceived,22864.4,,,9862,4201,11481.386651,
1465307663747,Network.dataReceived,22864.4,,,32768,16393,11481.532432,
1465307663747,Network.dataReceived,22864.4,,,14063,0,11481.53278,
1465307663757,Network.dataReceived,22864.4,,,27510,9528,11481.543694,
1465307663776,Network.dataReceived,22864.3,,,32768,14557,11481.561384,
1465307663776,Network.dataReceived,22864.3,,,32768,0,11481.561566,
1465307663776,Network.dataReceived,22864.3,,,6495,0,11481.56165,
1465307663782,Network.loadingFinished,22864.3,,,,18708,11481.561713,
1465307663787,Network.dataReceived,22864.4,,,32768,16393,11481.573301,
1465307663787,Network.dataReceived,22864.4,,,18329,0,11481.57341,
1465307663938,Network.responseReceived,22864.5,,application/x-javascript,,,11481.723302,h2
1465307663940,Network.responseReceived,22864.2,,text/css,,,11481.72478,h2
1465307663940,Network.dataReceived,22864.4,,,32768,19360,11481.725274,
1465307663940,Network.dataReceived,22864.4,,,27492,0,11481.726858,
1465307663947,Network.dataReceived,22864.4,,,32768,12514,11481.731946,
1465307663947,Network.dataReceived,22864.4,,,4906,0,11481.732234,
1465307663967,Network.dataReceived,22864.2,,,492,664,11481.75407,
1465307663968,Network.loadingFinished,22864.2,,,,664,11481.753963,
1465307663968,Network.dataReceived,22864.5,,,9863,4159,11481.755113,
1465307663986,Network.requestWillBeSent,22864.6,fonts.gstatic.com,,,,11481.767941,
1465307663988,Network.dataReceived,22864.4,,,32768,16393,11481.772312,
1465307663988,Network.dataReceived,22864.4,,,28074,0,11481.772719,
1465307663988,Network.dataReceived,22864.5,,,32768,26378,11481.772849,
1465307663988,Network.dataReceived,22864.5,,,32768,0,11481.772936,
1465307663988,Network.dataReceived,22864.5,,,25117,0,11481.773037,
1465307663988,Network.dataReceived,22864.4,,,32768,13660,11481.773132,
1465307663988,Network.dataReceived,22864.4,,,10262,0,11481.773224,
1465307663989,Network.loadingFinished,22864.4,,,,108451,11481.762185,
1465307663989,Network.dataReceived,22864.5,,,32768,16393,11481.775165,
1465307663990,Network.dataReceived,22864.5,,,32768,0,11481.775334,
1465307663990,Network.dataReceived,22864.5,,,3174,0,11481.775409,
1465307664100,Network.responseReceived,22864.6,,font/woff,,,11481.886389,http/1.1
1465307664100,Network.dataReceived,22864.6,,,1018,1398,11481.886614,
1465307664101,Network.dataReceived,22864.6,,,2796,2796,11481.886665,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.886718,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.88676,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.886791,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.886816,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.886844,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.886867,
1465307664101,Network.dataReceived,22864.6,,,1398,1398,11481.88689,
1465307664103,Network.dataReceived,22864.6,,,660,660,11481.889484,
1465307664104,Network.loadingFinished,22864.6,,,,14640,11481.889504,
1465307664105,Network.dataReceived,22864.5,,,32768,14167,11481.890703,
1465307664105,Network.dataReceived,22864.5,,,25937,0,11481.891119,
1465307664105,Network.loadingFinished,22864.5,,,,61097,11481.890552,
1465307664151,Page.loadEventFired,,,,,,11481.936623,
1465307664151,Page.domContentEventFired,,,,,,11481.936816,
