Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,imgur,0.537964,1.353057,1.350496,0,0,0,0,1,17045,77211,0.585166,4,188903,648930,1.78565,1,14640,14260,0.343182,4,220588,740401
quic,imdb,0.749134,4.515185,1.479682,0,0,0,0,1,15904,83052,0.872419,4,81768,279111,2.0146,49,631456,621360,56.445227,10,729128,983523
quic,imgur,0.517091,1.379307,1.377051,0,0,0,0,1,17045,77211,0.556032,4,188903,648930,1.949305,1,14640,14260,0.345537,4,220588,740401
quic,imdb,0.734812,4.318737,1.558704,0,0,0,0,1,15940,83052,0.8628,4,81764,279104,2.24913,43,674844,667117,54.400255,9,772548,1029273
quic,imgur,0.512189,1.545337,1.545337,0,0,0,0,1,17045,77211,0.557065,4,188910,648930,2.223308,1,14640,14260,0.260833,4,220595,740401
quic,amazon,0.626296,1.884579,1.319375,0,0,0,0,1,26713,84659,0.892475,8,143306,515306,2.05102,13,107302,101624,4.328267,10,277321,701589
quic,apple,0.490396,2.262836,1.537755,0,0,0,0,1,4577,24576,0.512702,9,192351,840041,4.057404,17,527767,536414,9.16498,4,724695,1401031
quic,apple,0.519832,2.500577,1.640379,0,0,0,0,1,4577,24576,0.556987,9,190959,840041,4.158837,17,527773,536414,10.30788,4,723309,1401031
quic,amazon,0.777304,2.045195,1.516197,0,0,0,0,1,26726,84801,1.087121,8,143307,515306,2.500921,13,110327,104687,4.591453,10,280360,704794
quic,imgur,0.515084,1.502376,1.502376,0,0,0,0,1,17044,77211,0.554057,4,188883,648930,2.095978,1,14640,14260,0.28666,4,220567,740401
quic,amazon,0.752773,2.015516,1.45094,0,0,0,0,1,26748,84914,1.015936,8,143326,515306,2.325812,13,108730,103146,4.198047,10,278804,703366
quic,imgur,0.487845,1.429218,1.429218,0,0,0,0,1,17045,77211,0.546561,4,188911,648930,2.005873,1,14640,14260,0.242479,4,220596,740401
quic,imgur,0.4341,1.323977,1.323977,0,0,0,0,1,17045,77211,0.492106,4,188896,648930,2.018048,1,14640,14260,0.343025,4,220581,740401
quic,apple,0.484254,2.391556,1.415588,0,0,0,0,1,4577,24576,0.508892,9,190903,840041,3.902074,17,527752,536414,11.871938,4,723232,1401031
quic,imgur,0.453358,1.267772,1.267772,0,0,0,0,1,17045,77211,0.497406,4,188903,648930,1.736076,1,14640,14260,0.245679,4,220588,740401
quic,imdb,0.821527,4.663514,1.581247,0,0,0,0,1,15891,83052,0.95802,4,81770,279110,2.131493,45,610926,602704,57.734472,9,708587,964866
quic,amazon,0.673856,2.054103,1.406037,0,0,0,0,1,26734,84907,0.927411,8,143307,515306,2.705972,13,108002,103146,5.783676,10,278043,703359
quic,amazon,0.677726,2.207952,1.483245,0,0,0,0,1,26733,84760,1.042793,8,143256,515306,1.85546,13,110143,104687,4.662339,10,280132,704753
quic,apple,0.484785,2.296519,1.427435,0,0,0,0,1,4577,24576,0.496401,9,191355,840041,3.40182,17,527830,536414,10.694556,4,723762,1401031
quic,amazon,0.718025,2.413118,1.56818,0,0,0,0,1,26739,84883,1.065156,8,143207,515306,2.647873,13,108788,103146,3.942392,10,278734,703335
quic,imgur,0.484059,1.546442,1.543306,0,0,0,0,1,17045,77211,0.552236,4,188911,648930,2.251,1,14640,14260,0.557091,4,220596,740401
quic,amazon,0.755778,2.055772,1.482259,0,0,0,0,1,26739,84907,1.036779,8,143262,515306,2.559686,13,108758,103146,5.511701,10,278759,703359
quic,imdb,0.80023,3.95941,1.549754,0,0,0,0,1,15904,83052,0.929315,4,81745,279110,1.85463,44,749758,741852,51.339773,9,847407,1104014
quic,imgur,0.484126,1.431924,1.431924,0,0,0,0,1,17045,77211,0.513498,4,188927,648930,2.139995,1,14640,14260,0.158878,4,220612,740401
quic,imgur,0.487782,1.368231,1.298935,0,0,0,0,1,17045,77211,0.546328,4,188888,648930,1.82211,1,14641,14260,0.519736,4,220574,740401
quic,apple,0.552832,2.370085,1.486642,0,0,0,0,1,4577,24576,0.572952,9,190934,840041,3.758616,17,527736,536414,9.194947,4,723247,1401031
quic,amazon,0.732105,2.021976,1.530023,0,0,0,0,1,26740,84883,1.128151,8,143265,515306,2.363658,13,108739,103146,4.792474,10,278744,703335
quic,imdb,0.712866,3.906788,1.42869,0,0,0,0,1,15861,83052,0.83269,4,81753,279111,1.945258,44,643086,635251,50.737777,9,740700,997414
quic,amazon,0.709587,2.192239,1.43279,0,0,0,0,1,26734,84883,0.97823,8,143306,515306,2.291071,13,108785,103146,5.733537,10,278825,703335
quic,imdb,0.813302,4.347397,1.527749,0,0,0,0,1,15515,83052,0.962577,4,81681,279111,1.958671,44,681463,673254,51.996057,9,778659,1035417
quic,imgur,0.506538,1.523244,1.523244,0,0,0,0,1,17045,77211,0.566883,4,188902,648930,2.234953,1,14640,14260,0.372267,4,220587,740401
quic,imgur,0.534055,1.343522,1.340486,0,0,0,0,1,17045,77211,0.593312,4,188884,648930,1.832528,1,14640,14260,0.370954,4,220569,740401
quic,imgur,0.610201,1.552339,1.552339,0,0,0,0,1,17045,77211,0.661625,4,188927,648930,2.147132,1,14640,14260,0.244632,4,220612,740401
quic,imdb,0.847336,4.399146,1.619065,0,0,0,0,1,15938,83052,0.948508,4,81778,279111,2.080989,43,616050,608363,55.93956,9,713766,970526
quic,imdb,0.713321,4.36572,1.426088,0,0,0,0,1,15919,83052,0.832172,4,81763,279104,2.074193,43,697484,689700,54.05242,9,795166,1051856
quic,apple,0.518419,2.347781,1.487109,0,0,0,0,1,4577,24576,0.530194,9,190936,840041,4.095474,17,527734,536414,10.992119,4,723247,1401031
quic,imgur,0.541004,1.572595,1.572595,0,0,0,0,1,17045,77211,0.587544,4,188888,648930,2.200483,1,14640,14260,0.513718,4,220573,740401
